Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating
Acing the Product Management Interview,Advancing Women in Product,71,High,High School,69,Yes,Advanced,5
The Business of Product Management I,Advancing Women in Product,75,Low,College,65,Yes,Advanced,4.8
The Art & Science of Product Management,Advancing Women in Product,62,Medium,High School,63,No,Beginner,5
Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,73,Low,College,66,No,Intermediate,4.7
Data for Machine Learning,Alberta Machine Intelligence Institute,76,Low,Postgraduate,65,No,Beginner,4.4
Introduction to Applied Machine Learning,Alberta Machine Intelligence Institute,81,Low,College,66,Yes,Intermediate,4.7
Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,54,High,Postgraduate,67,Yes,Beginner,4.5
Big Data Analytical Platform on Alibaba Cloud,Alibaba Cloud Academy,68,Low,High School,65,Yes,Beginner,4.7
Cloud Computing Fundamentals on Alibaba Cloud,Alibaba Cloud Academy,87,Low,College,65,Yes,Beginner,4.7
Protecting Cloud Architecture with Alibaba Cloud,Alibaba Cloud Academy,95,Low,College,67,No,Beginner,4.9
Building Containerized Applications on AWS,Amazon Web Services,60,Medium,College,66,No,Beginner,4
Getting Started with AWS Machine Learning,Amazon Web Services,56,Medium,Postgraduate,66,Yes,Beginner,4.4
Building Modern Java Applications on AWS,Amazon Web Services,68,Low,Postgraduate,61,Yes,Advanced,4
AWS Computer Vision: Getting Started with GluonCV,Amazon Web Services,53,High,High School,60,Yes,Beginner,4.6
Building Modern Python Applications on AWS,Amazon Web Services,52,Low,High School,64,Yes,Advanced,4.3
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,89,High,High School,66,Yes,Beginner,4.6
Amazon DynamoDB: Building NoSQL Database-Driven Applications,Amazon Web Services,72,Low,College,65,Yes,Advanced,4.8
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,54,Low,High School,61,No,Beginner,4.7
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,60,High,High School,67,Yes,Intermediate,4.5
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,89,High,High School,68,Yes,Intermediate,4.3
Genetics and Society: A Course for Educators,American Museum of Natural History,71,Medium,High School,65,Yes,Intermediate,4.7
The Dynamic Earth: A Course for Educators,American Museum of Natural History,57,High,High School,68,No,Intermediate,4.6
Our Earth's Future,American Museum of Natural History,72,Low,College,66,No,Intermediate,4.7
The Science of Stem Cells,American Museum of Natural History,59,Medium,Postgraduate,67,Yes,Intermediate,4.7
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,74,Medium,Postgraduate,64,Yes,Beginner,4.8
